"","germplasmName","DON","Heading","Height","Lodging","Maturity","TestWeight","Yield","Weight..lb.","notes.x","notes.y"
"86","IL2022-11918",1.2,133,37.83,2.11,166.42,59.1,82.65,7.55,"looks good, obs:Good","npt, bearded"
"87","IL2022-11938",1.37,130.81,35.94,2.59,166.82,59.58,65.49,5.74,"hd:N, bearded, obs:Fair",NA
"88","IL2022-11971",2.09,129.88,36.35,2.27,165.37,58.79,92.18,7.5,"hd:E, obs:Good",""
"89","IL2022-120",1.63,132.35,39.37,2.64,166.55,58.98,92.76,7.66,"hd:N, obs:Fair",""
"90","IL2022-12028",1.88,132.42,37.51,1.65,168.75,58.17,93.67,8.23,"obs:Good",NA
"91","IL2022-12030",1.98,129.85,38.96,2.01,166.68,61.13,90.32,7.09,"obs:Normal",""
"92","IL2022-12034",1.48,130.45,37.7,1.97,164.93,58.51,88.76,8.26,"hd:E, obs:Fair",NA
"93","IL2022-12044",1.24,132.14,37.01,3.18,164.76,59.52,93.48,6.1,"hd:N, obs:Fair",NA
"94","IL2022-12047",1.55,131.34,37.6,2.88,166.91,59.75,90,7.64,"hd:E, mixed, obs:Normal","mixed"
"95","IL2022-12064",1.54,129.48,39.29,2.31,165.07,58.38,81.06,7.42,"hd:E, obs:Poor",""
"96","IL2022-12067",1.37,131.33,38.91,2.04,165.35,56.85,83.41,6.4,"hd:E",""
"97","IL2022-12079",1.55,132.28,36.74,2.13,169.34,58.23,81.98,7.05,"obs:Fair",NA
"98","IL2022-12112",2.14,130.64,37.05,2.44,167.43,58.27,81.08,8.04,"hd:N, obs:Fair",NA
"99","IL2022-12170",1.63,131.22,35.75,1.6,168.41,57.01,84.38,6.56,"obs:Normal",""
"100","IL2022-12203",1.92,132.79,34.96,1.15,168.86,57.9,84.6,5.57,"hd:N, obs:Fair",""
"101","IL2022-1224",1.98,130.48,37,1.97,166.23,59.31,85.35,7.01,"hd:E, obs:Normal",NA
"102","IL2022-12263",2.24,133.27,35.63,1.43,167.9,57.81,82.23,7.52,"obs:Normal",""
"103","IL2022-12347",1.28,129.53,36.75,2.26,163.71,58.6,86.31,7.83,"hd:E, obs:Normal",""
"104","IL2022-12349",1.63,131.34,36.47,2.33,165.69,55.99,93.1,7.33,"obs:Good",NA
"105","IL2022-12353",1.49,130.18,36.88,2.51,164.57,57.11,89.78,7.43,"hd:E, obs:Poor",NA
"106","IL2022-12364",1.51,130.76,34.98,2.55,164.2,57.09,90.61,7.87,"hd:E, obs:Normal",""
"107","IL2022-12417",1.42,131.1,36.33,1.91,165.07,56.18,83.46,6.04,"hd:E, obs:Normal",""
"108","IL2022-12621",1.76,131.72,37.78,2.37,167.1,59.55,86.52,6.05,"obs:Normal",""
"109","IL2022-12637",1.83,131.56,36.12,3.18,164.35,57.62,78.74,7.53,"obs:Normal",NA
"110","IL2022-12644",2.14,130.79,38,2.53,165.36,58.8,75.02,5.84,"hd:E, obs:Normal",""
"111","IL2022-12650",1.61,127.89,37.92,2.34,164.64,57.02,77.59,5.35,"hd:E, freeze damage, tall, obs:Fair",""
"112","IL2022-12654",1.65,129.38,39.07,2.13,166.02,57.85,79.3,6.07,"hd:E, obs:Poor",NA
"113","IL2022-12702",0.98,131.45,36.6,1.77,167.4,57.19,86.23,7.96,"hd:E, obs:Normal","has triticale"
"114","IL2022-12713",1.7,132.08,38.29,1.75,168.95,57.84,87.92,8.08,"hd:N, mixed, obs:Normal",""
"115","IL2022-12728",1.64,133.09,35.56,1.05,169.58,58.2,88.14,8.19,"obs:Normal",NA
"116","IL2022-12730",1.57,132.99,37.61,2.29,167.43,60.17,79.63,8.08,"obs:Poor",NA
"117","IL2022-12753",1.52,131.9,34.51,1.28,169.13,59.68,81.65,7.51,"hd:N, obs:Good",NA
"118","IL2022-12832",1.89,134.25,35.75,1.5,168.65,56.79,91.6,6.83,"obs:Good",""
"119","IL2022-12879",1.22,131.98,34.12,2.68,167.06,57.64,76.27,6.75,"hd:N, obs:Fair",NA
"120","IL2022-12903",1.31,131.34,34.56,1.62,167.76,58.53,85.88,6.87,"hd:N, obs:Good",NA
"121","IL2022-12920",1.47,131.71,36.65,2.63,168,57.88,84.68,6.78,"obs:Normal",""
"122","IL2022-12926",1.62,131.33,32.73,1.59,167.81,57.77,88.62,8.3,"hd:E, obs:Good",NA
"123","IL2022-12929",1.18,132.3,34.65,1.51,166.05,58.68,81.48,6.42,"hd:E, vve, obs:Normal",NA
"124","IL2022-12933",1.03,133.04,33.34,2.23,166.17,59.06,93.42,7.58,"obs:Good",""
"125","IL2022-12935",1.63,130.25,31.39,0.71,166.01,56.96,87.4,5.97,"hd:E, obs:Normal",NA
"126","IL2022-12948",1.54,129.89,36.44,1.23,164.79,59.35,70.52,5.62,"hd:E, obs:Fair",""
"127","IL2022-12949",1.36,131.52,37.57,1.82,165.58,58.33,86.34,6.86,"hd:N, obs:Fair",""
"128","IL2022-13016",1.64,129.67,36.18,1.62,167.35,58.98,78.39,6.62,"hd:E, obs:Normal",NA
"129","IL2022-13050",0.72,130.62,39.99,2.44,163.56,58.6,85.8,5.91,"hd:E, obs:Normal",""
"130","IL2022-13055",0.79,132.52,37.58,1.69,166.82,58.67,83.94,8.42,"hd:N, obs:Normal",""
"131","IL2022-13060",1.52,130.82,38.23,2.41,166.19,58.43,80.64,6.53,"hd:E, obs:Fair",""
"132","IL2022-13113",1.43,129.48,39.07,2.5,165.57,58.34,80.2,6.76,"hd:E, VE, obs:Normal",NA
"133","IL2022-1312",2.06,132.07,36.51,2.24,165.27,59.15,86.43,7.53,"hd:E, obs:Fair",""
"134","IL2022-13138",1.51,130.89,39.34,2.35,166.4,58.14,80.75,6.74,"hd:E, obs:Normal","thick, tall"
"135","IL2022-13149",1.38,131.2,37.21,2.6,165.29,58.14,81.36,7.83,"hd:N, obs:Good",""
"136","IL2022-13172",1.42,130.54,37.59,2.08,165.01,58.5,88.99,7.02,"hd:E, seg, obs:Good",""
"137","IL2022-13243",2.08,131.55,38.58,5.58,166.47,58.59,84.69,5.04,"obs:Poor",""
"138","IL2022-13361",1.77,131.53,37.97,2.74,164.04,60.68,90.95,7.57,"hd:E, obs:Poor",NA
"139","IL2022-13428",1.51,131.8,37.08,2.89,166.09,60.23,80.58,6.27,"hd:E, obs:Good",""
"140","IL2022-13464",2.01,133.48,37.18,2.03,165.76,58.02,74.18,6.8,"many heads, obs:Good",NA
