"","germplasmName","Yield_Average","TestWeight_Average","Heading_NA","Maturity.time_NA","Height_NA","DON_NA","Lodging.incidence...0.9_YT_Urb_23","Yield_YT_Addie_23","Yield_YT_Neo_22","Yield_YT_Neo_23","Yield_YT_Stp_23","Yield_YT_Urb_22","Yield_YT_Urb_23","TestWeight_YT_Addie_23","TestWeight_YT_Neo_22","TestWeight_YT_Neo_23","TestWeight_YT_Stp_23","TestWeight_YT_Urb_22","TestWeight_YT_Urb_23","notes"
"278","IL2021-43872",109.24,62.29,130.97,166.2,37.2,NA,2.79,103.82,107.36,132.98,99.15,109.41,110.42,59.3,62,62.93,64.27,62.61,62.42,"YTAddie23[glume blotch]; YTUrb23[thick, bright, big heads]"
"279","IL2021-43877",105.99,61.96,132.47,165.03,37.45,NA,1.65,95.73,104.61,130.89,91.41,107.89,107.79,59.34,61.75,62.54,63.87,62.44,61.51,"YTStp23[npt, uniform ,]; YTUrb22[Lodg]"
"280","IL2021-43878",106.97,61.13,131.53,165.07,37.58,NA,2.63,100.06,105.49,132.98,92.05,107.66,107.64,59.13,61.06,61.35,62.89,61.57,60.27,"YTUrb22[Mix, Npt]"
"281","IL2021-43909",104.65,62.52,130.31,162.36,36.56,NA,1.05,96.44,103.97,126.45,89.89,106.31,105.29,59.55,63.49,63.07,64.06,62.78,62.23,"YTUrb23[npt]"
"282","IL2021-43913",105.73,62.93,131.58,163.78,37.49,NA,2.69,100.46,104.07,125.08,92.68,107.16,107.11,61.05,62.46,63.68,64.71,63.22,62.73,"YTAddie23[septoria]; YTUrb22[Lodg]; YTUrb23[thick]"
"283","IL2021-43916",105.4,61.41,131.55,164.36,36.51,NA,1.92,102.25,103.75,128.21,93.12,104.42,102.62,58.94,61.33,61.84,62.69,61.93,61.07,"YTAddie23[septoria]"
"284","IL2021-43920",100.61,62.87,131.08,167.32,37.23,NA,1.68,90.03,99.3,121.02,80.9,104.36,101.94,61.09,63.25,63.37,65.01,62.81,62.35,"YTNeo22[septoria]; YTStp23[bad plot,]"
"285","IL2021-43921",106.79,62.06,131.89,167.63,38.8,NA,2.18,97.79,106.82,128,93.4,108.78,109.63,60.74,61.39,62.68,63.99,62.24,61.4,"YTNeo22[late, npt]"
"286","IL2021-43926",103.14,62.83,130.79,164.28,37,NA,1.48,94.61,101.73,122.58,89.97,104.97,103.08,60.7,62.39,63.65,65.14,63.01,62.43,"YTUrb22[Npt, erect, green leaves]"
"287","IL2021-43932",106.74,62.43,131.09,167.3,38.57,NA,2.04,103.39,104.91,131.34,93.14,106.26,105.3,60.32,62.61,63.28,64.86,62.51,61.29,NA
