"","germplasmName","Yield_Average","TestWeight_Average","Heading_NA","Maturity.time_NA","Height_NA","DON_NA","Lodging.incidence...0.9_YT_Urb_23","Yield_YT_Addie_23","Yield_YT_Neo_22","Yield_YT_Neo_23","Yield_YT_Stp_23","Yield_YT_Urb_22","Yield_YT_Urb_23","TestWeight_YT_Addie_23","TestWeight_YT_Neo_22","TestWeight_YT_Neo_23","TestWeight_YT_Stp_23","TestWeight_YT_Urb_22","TestWeight_YT_Urb_23","notes"
"1","07-19334",107.74,61.98,133.59,171.75,39.95,1.54,2.13,97.37,106.67,131.57,95.39,109.34,111.27,63.19,61.04,62.67,63.85,61.46,60.45,NA
"2","12-26004",102.59,60.31,128.77,163.5,37.77,NA,2.82,99.71,102.86,130.38,92.56,97.14,91.12,56.9,60.52,60.39,61.31,61.3,59.92,NA
"3","16-8048",105.19,61.78,132.97,167.08,38.71,1.13,1.01,93.82,105.29,127.4,91.35,107.5,106.93,60.99,60.48,62.63,63.89,62.08,60.49,NA
"4","25R76",109.89,61.67,132.4,172.53,38.13,NA,1.62,103.37,108.13,138.39,98.1,109.41,110.62,60.46,61.45,62.14,63.47,61.83,60.63,NA
"5","AgriMAXX503",111.62,61.1,133.97,168.27,38.84,NA,2.26,103.05,109.64,138.44,102.27,112.14,115.48,59.37,61.05,61.5,63.33,61.37,59.69,NA
"6","IL2021-11634",103.14,63.09,130.58,164.15,37.97,NA,3.17,99.34,101.72,123.05,89.28,103.5,100.21,60.7,62.64,64.18,65.27,63.29,62.75,NA
"7","IL2021-13321",104.05,61.47,133.18,167.56,38.53,NA,1.64,92.44,102.82,126.77,88.27,106.96,106.37,59.11,61.32,61.84,63.89,61.77,60.57,"YTAddie23[see down row]"
"8","IL2021-13577",105.22,61.66,130.79,162.38,39.33,NA,2.95,100.38,103.74,127.54,90.35,105.95,104.79,58.89,61.48,62.08,64.52,61.96,60.83,NA
"9","IL2021-13707",107.73,60.75,130.35,164.9,38.33,NA,2.19,105.81,105.97,130.9,95.9,107.08,106.19,57.74,60.82,60.82,62.15,61.6,60.27,NA
"10","IL2021-13712",104.19,61.14,131.12,168.58,39.07,NA,2.08,94.56,102.72,120.61,89.35,108.28,109.07,59.1,61.07,61.47,63.42,61.45,59.95,NA
"11","IL2021-13713",108.65,60.39,129.05,164.81,36.09,NA,1.01,107.97,106.84,134.14,96.14,107.05,106.73,56.7,60.62,60.65,61.44,61.32,60.07,NA
"12","IL2021-13718",105.25,61.19,129.59,164.49,36.97,NA,0.47,102.21,103.73,130.8,90.74,103.86,101.89,57.9,61.13,61.3,63.24,61.89,60.87,"YTAddie23[septoria]; YTUrb23[npt, ve]"
"13","IL2021-13723",105.49,61.14,130.46,165.94,37.69,NA,2.23,97.05,103.98,128.86,93.13,106.38,105.35,58.27,61.15,61.6,62.92,61.75,60.37,"YTUrb23[seg]"
"14","IL2021-13734",102.3,61.56,129.52,164.22,38.03,NA,1.56,94.97,101.05,127.28,88.81,101.59,97.2,59.31,61.45,62.04,63.12,62.17,60.75,"YTUrb22[Ve, npt]"
"15","IL2021-14267",101.38,62.69,129.97,166.54,39.54,NA,2.52,98.74,100.04,118.46,86.04,102.26,98.23,61.14,62.28,63.58,65.05,62.75,61.82,"YTUrb22[Lodging]"
"16","IL2021-14320",105.77,63.08,133.06,167.95,38.66,NA,1.89,97.13,104.37,127.83,89.95,108.45,108.87,61.97,62.58,64.2,65.29,62.98,62.21,"YTUrb22[Leaning]"
"17","IL2021-14513",104.46,61.51,131.77,166.39,40.03,NA,2.31,98.32,103.1,127.06,88.81,105.6,104.02,59.84,61.32,61.73,63.89,61.96,60.16,"YTUrb22[Leaning]"
"18","IL2021-14556",104.69,63.18,132.06,166.99,39.31,NA,2.59,95.7,103.26,127.95,92.04,105.68,104.07,62.12,62.61,64.12,65.63,63.03,62.42,NA
"19","IL2021-14567",99.32,62.29,131.19,163.4,40.88,NA,2.9,89.72,98.33,117.4,82.38,102.18,97.96,60.55,62.01,63.17,64.31,62.52,61.26,"YTUrb22[Leaning]"
"20","IL2021-14669",105.96,62.64,130.5,167.7,38.71,NA,3.91,99.52,104.47,128.81,90.96,107.29,107.13,61.11,62.21,63.38,64.75,62.71,62.08,NA
"21","IL2021-14676",103.47,62.29,131,166.56,39.17,NA,2.5,94.74,102.07,126.41,91.99,103.76,100.62,61.78,61.89,62.97,64.93,62.11,60.76,"YTStp23[, tall]"
"22","IL2021-14779",102.9,63.22,132.03,168.61,39.61,NA,5.97,99.79,101.52,122.45,87.61,103.5,100.37,62.69,62.59,64.04,66.2,62.96,62.02,"YTUrb22[Lodg]"
"23","IL2021-14925",106.86,63.28,134.8,169.86,38.92,NA,2.43,97.1,105.37,129.6,91.63,109.73,111.4,64.04,62.53,63.88,65.86,62.73,62.15,NA
"24","IL2021-15117",103.41,62.63,133.64,167.75,38.93,NA,2.22,93.91,102.09,123.86,89.12,105.76,104.14,61.75,62.16,63.48,66.04,62.29,60.99,"YTAddie23[uneven]"
"25","IL2021-15134",109.35,62.89,131.6,167.67,37.17,NA,2.12,96.4,107.63,135.07,99.24,111.47,113.83,60.96,62.4,63.75,65.66,62.7,62.44,"YTAddie23[plot dmg]"
"26","IL2021-15138",100.95,62.97,132.36,166.37,40.52,NA,5.76,96.76,99.43,117.09,90,100.97,96.48,62.13,62.4,63.77,65.77,62.66,62.02,"YTAddie23[plot dmg]; YTUrb22[Lodg]"
"27","IL2021-15149",105.87,62.88,130.45,165.2,39.59,NA,2.7,96.05,104.22,129.19,96.97,106.25,105.06,60.54,62.44,63.72,65.3,63.09,62.49,NA
"28","IL2021-15152",102.04,62.9,129.62,164.45,41.54,NA,1.89,99.47,100.6,121.09,89,101.61,97.18,61.55,62.42,63.76,64.72,62.94,62.46,NA
"29","IL2021-15179",100.34,63.63,132.36,166.09,39.89,NA,2.89,91.09,99.13,119.5,87.32,101.71,97.11,62.84,62.94,64.67,65.99,63.39,63.04,NA
"30","IL2021-15207",102.48,63.04,131.05,164.92,39.4,NA,1.71,93.91,101.05,122.64,89.93,103.74,100.75,61.02,62.49,64.03,65.67,63.08,62.47,"YTNeo22[ve]"
"31","IL2021-15219",106.58,63.77,130.56,167.8,39.12,NA,2.04,104.49,107.25,132.14,92.73,104.58,102.1,61.64,63.57,64.8,65.94,63.75,63.77,"YTNeo22[leaning]"
"32","IL2021-15228",104.22,62.18,131.81,164.29,39.43,NA,2.91,100.71,102.71,125.94,90.44,103.97,101.53,59.28,61.95,62.93,64.37,62.62,61.73,"YTAddie23[mixed]; YTUrb22[Lodging]"
"33","IL2021-15245",106.2,64.38,131.09,167.75,38.72,NA,2.22,96.13,104.56,127.26,95.7,108.14,108.24,63.39,63.53,65.7,66.85,63.96,64.26,NA
"34","IL2021-15254",108.39,63.74,131.75,166.88,40.08,NA,3.4,101.25,106.83,134.82,94.6,109.24,109.84,62.37,63.07,64.92,66.47,63.52,63.17,"YTUrb22[Leaning]"
"35","IL2021-15258",103.51,63.08,130.56,165.89,38.91,NA,2.43,93.32,102.13,123.31,89.82,106.09,104.95,60.22,62.64,64.02,64.93,63.41,63.39,"YTAddie23[bad plot]; YTUrb23[mixed]"
"36","IL2021-15263",104.77,62.53,130.7,164.81,39.27,NA,6.28,96.63,103.23,126.16,93.01,105.83,104.48,60.35,62.17,63.29,64.68,62.83,61.97,"YTUrb23[lodging]"
"37","IL2021-15809",103.41,62.54,131.56,168.64,38.14,NA,3,95.48,102.25,123.39,84.39,106.94,106.26,60.73,62.14,63.31,64.88,62.56,61.94,"YTUrb22[Mix]"
"38","IL2021-16120",98.61,63.29,130.87,163.61,40.01,NA,2.97,92.83,97.36,111.88,85,100.5,95.33,62.95,62.68,64.37,65.88,62.96,62.03,"YTAddie23[mixed]; YTStp23[, tall]; YTUrb23[has triticale]; YTUrb23[has triticale]"
"39","IL2021-16212",100.21,63.29,132.68,166.26,37.82,NA,2.42,93.75,99.08,120.16,84.62,101.12,96.18,62.04,62.71,64.37,66.03,63.04,62.48,NA
"40","IL2021-16322",101.42,63.52,131.18,165.01,40.55,NA,2.6,90.91,100.31,122.51,85.66,103.74,100.7,61.29,62.95,64.66,65.83,63.6,63.4,NA
"41","IL2021-16330",102.66,62.33,131.02,166.86,40.19,NA,1.95,95.74,101.45,124.78,87.06,103.79,100.56,58.93,62.09,63.14,64.49,62.9,62.06,NA
"42","IL2021-16415",107.26,63.48,131.79,165.22,39.82,NA,2.39,97.69,105.85,133.07,91.14,109.41,110.71,62.59,62.84,64.51,65.86,63.27,62.81,NA
"43","IL2021-16419",102.8,62.84,130.55,162.49,39.75,NA,2.19,96.18,101.4,122.28,89.36,103.97,101.26,61.03,62.37,63.67,65.28,62.88,62.25,NA
"44","IL2021-16421",100.24,63.13,130.68,163.44,40.05,NA,3.76,90.31,99.2,120.83,84.27,102.27,98.1,61.71,62.6,64.09,65.63,63.05,62.44,NA
"45","IL2021-16452",108.25,60.9,132.46,166.05,38.25,NA,2.25,100.36,106.26,135,98.49,107.82,107.76,58.79,60.33,61.08,63.28,61.31,60.02,NA
"46","IL2021-16459",105.64,63.13,130.23,164.5,39.52,NA,2.37,97.08,106.76,130.36,90.9,106.11,104.67,60.63,62.85,64.19,65.5,63.26,62.74,"YTNeo22[clean]"
"47","IL2021-16544",102.05,61.22,131.61,167.36,39.67,NA,1.98,94.15,100.69,122.54,89.33,102.75,99.41,59.42,61.15,61.78,63.53,61.34,59.82,"YTUrb22[Leaning]"
"48","IL2021-16576",102.45,62.52,133.03,168.49,38.92,NA,2.47,92.46,101.19,121.97,87.18,105.23,103.55,61.49,62.06,63.16,65.75,62.36,61.04,"YTAddie23[plot dmg]"
"49","IL2021-16612",107.97,61.31,132.94,168.03,38.03,NA,3.36,101.77,106.3,131.68,93.84,109.15,110.66,61.5,61.07,61.81,64.49,60.62,59.09,"YTUrb22[Lodging]"
"50","IL2021-16645",103.67,61.18,132.14,166.91,37.16,NA,1.72,100.59,102.25,126.59,90.32,102.75,98.71,58.91,61.12,61.58,63.64,61.47,59.97,"YTUrb22[Npt, mix]"
"51","IL2021-16676",110.2,60.71,131.04,164.68,40.35,NA,5.2,104.13,108.29,136.34,99.67,109.99,111.96,58.09,60.74,60.79,62.63,61.21,60,"YTUrb22[Mix]"
"52","IL2021-16722",106.42,62.92,131.6,164.42,41.27,NA,3.69,101.53,104.78,128.35,93.08,107.13,106.9,61.06,62.48,63.92,64.9,63.04,62.47,NA
"53","IL2021-16726",108.01,60.89,131.95,164.81,39.2,NA,3.23,100.38,106.27,132.52,96.72,108.53,109.4,58.83,60.86,61.18,63.36,60.96,59.78,NA
"54","IL2021-16728",104.63,62.31,131.95,165.93,38.44,NA,2.67,97.5,103.09,126.22,93.03,105.2,103.32,60.1,62.02,63.23,65.03,62.45,61.18,NA
"55","IL2021-16772",103.8,62.52,131.24,166.44,40.22,NA,1.95,98.11,102.29,123.42,91.01,104.69,102.55,61.35,62.06,63.1,65.17,62.45,61.57,"YTUrb22[Leaning]"
"56","IL2021-16807",104.38,61.52,133.4,167.65,38.18,NA,3.07,89.96,102.96,123.09,90.94,108.91,110.06,61.72,61.21,61.72,63.87,61.29,59.8,NA
"57","IL2021-16820",103.58,61.52,131.75,166.93,38.25,NA,1.94,98.95,102.07,120.02,89.27,105.7,104.24,59.86,61.3,61.79,64.12,61.59,60.48,NA
"58","IL2021-17103",102.91,61.05,133.21,168.59,39.67,NA,3.22,94.94,101.39,119.99,90.98,104.85,103.12,60.78,60.89,61.2,63.41,60.94,59.27,"YTAddie23[plot dmg- exclude]; YTStp23[, thick]; YTUrb22[Tall]"
"59","IL2021-17156",103.81,63.12,133.35,167.37,40.15,NA,2.4,95.73,102.47,125.34,88.85,105.56,104.01,62.31,62.54,63.97,65.72,62.91,62.25,NA
"60","IL2021-17373",101.88,61.8,131.19,167.08,38.7,NA,2.44,93.88,100.7,122.05,85.75,103.94,101.03,59.45,61.61,62.3,63.77,62.21,61.17,NA
"61","IL2021-17409",102.05,62.89,132.28,166.35,39.04,NA,1.6,93.73,100.69,119.63,89.06,104.2,101.38,61.36,62.44,63.81,65.07,63.08,62.02,NA
"62","IL2021-17428",106.26,62.24,132.12,166.5,40.42,NA,2.17,96.9,104.71,127.63,93.1,108.68,109.31,60.77,61.89,62.86,64.61,62.34,61.22,"YTUrb22[Tall]"
"63","IL2021-17431",103.97,61.51,132.57,167.63,38.93,NA,1.61,94.81,102.48,123.75,91.76,105.84,104.54,60,61.33,61.86,63.39,61.76,60.56,NA
"64","IL2021-17463",104.69,62.79,132.98,166.14,37.6,NA,2.09,90.46,103.4,125.98,90.91,108.75,108.81,60.64,62.33,63.55,65.54,62.85,62.24,"YTUrb23[thick]"
"65","IL2021-17475",108.46,61.54,131.92,166.75,39.3,NA,1.85,101.75,106.49,132.86,101.38,107.4,107.55,58.88,61.41,61.95,63.81,61.95,60.87,"YTAddie23[scab]; YTUrb22[ve]"
"66","IL2021-17506",107.06,62.26,133.01,169.26,37.34,NA,1.96,102.83,105.38,132.35,95.43,106.04,104.78,61.42,61.9,62.96,64.5,62.22,61.05,NA
"67","IL2021-17534",102.87,62.2,131.71,168.38,37.49,NA,2.31,91.15,101.67,126.75,89.07,104.45,101.77,59.96,61.94,63.07,64.99,62.35,61.03,"YTAddie23[mixed]; YTUrb23[mixed]"
"68","IL2021-17749",107.41,61.91,130.46,165.11,37.9,NA,2.46,100.67,105.83,132.36,94.61,108,107.78,59.16,61.74,62.52,63.74,62.56,61.3,"YTUrb22[Leaning]"
"69","IL2021-17752",103.89,62.5,132.46,169.08,37.8,NA,1.8,98.66,102.32,123.04,91.81,104.54,102.42,60.62,62.12,63.26,64.88,62.57,61.84,NA
"70","IL2021-17813",107.09,62.44,129.84,162.1,38.48,NA,1.63,102.09,107.51,133.91,93.55,105.81,104.17,59.98,63.14,62.96,64.4,62.58,61.84,"YTNeo22[npt, early]; YTStp23[, thick]; YTUrb23[ve]"
"71","IL2021-17838",104.99,62.49,130.55,162.91,38.57,NA,1.11,100.32,103.62,128.92,88.59,105.51,104.04,59.17,62.25,63.35,63.71,63.27,62.7,"YTUrb22[ve, npt]; YTUrb23[ve, thivk]"
"72","IL2021-17841",105.95,62.47,130.26,165.11,37.98,NA,1.47,98.11,104.54,131.58,91.28,106.72,105.92,60.05,62.16,63.35,64.31,62.78,62.1,"YTUrb23[npt]"
"73","IL2021-17845",106.08,61.93,130.58,164.24,36.9,NA,0.89,100.37,106.5,130.08,93.42,105.44,103.58,58.87,61.87,62.45,63.79,62.4,61.77,"YTNeo22[sept]; YTUrb23[npt]"
"74","IL2021-17848",103.3,62.89,131.58,166.26,37.81,NA,2.1,92.9,101.93,125.07,90.05,104.91,103.32,61.23,62.44,63.73,64.79,63.16,62.32,"YTUrb22[Npt]"
"75","IL2021-17857",105.88,62.19,130.42,164.14,37.74,NA,1.58,98.92,104.42,133.24,92.68,105.19,103.38,58.79,62,62.91,63.62,62.98,62.19,"YTUrb22[Npt]; YTUrb23[beautiful, thick]; YTUrb23[npt]"
"76","IL2021-17859",107.22,62.5,130.38,164.78,36.77,NA,2.22,99.25,105.8,136.73,92.9,106.95,106.2,59.92,62.18,63.29,64.59,62.87,62.13,"YTUrb23[thick]; YTUrb23[thick, bright]"
"77","IL2021-17863",104.13,62.59,131.39,166.21,37.76,NA,2.07,97.05,102.63,126.36,92.14,104.36,102.07,59.27,62.27,63.32,64.36,63.22,62.81,"YTUrb22[Npt]"
"78","IL2021-17866",103.97,62.6,130.27,163.87,39.29,NA,1.6,98.8,102.74,125.83,90.38,104.13,101.48,60.96,62.31,63.5,64.15,62.78,62.12,"YTNeo22[ve npt]"
"79","IL2021-17919",103.61,62.21,130.94,165.22,37.85,NA,2.11,99.71,103.59,123.91,89.27,103.61,100.6,59.47,62.17,62.95,64.28,62.54,61.69,"YTAddie23[plot damage]; YTNeo22[early, npt]; YTUrb23[thick, uniform]"
"80","IL2021-17949",105.57,61.82,132.35,164.77,38.07,NA,1.46,98.75,103.79,125.37,97.04,105.91,104.64,59.85,61.59,62.32,64.12,62.03,60.96,"YTUrb22[npt]"
"81","IL2021-17958",107.29,61.75,130.88,165.46,37.44,NA,0.94,103.21,103.17,134.89,95.87,106.22,105.17,59.51,60.93,62.46,63.81,62.16,61.2,"YTUrb23[thick, ve]"
"82","IL2021-17961",101.28,62.45,131.02,164.25,37.66,NA,1.31,92.98,101.32,123.55,84.07,102.53,98.49,61.05,62.44,63.29,64.62,62.45,61.25,"YTNeo22[ve, npt]"
"83","IL2021-17968",103.77,61.62,131.24,164.28,38.52,NA,0.92,94.57,102.44,126.05,89.81,105.35,103.43,59.28,61.46,62.1,63.56,61.93,61.05,"YTUrb22[Looks good]"
"84","IL2021-17972",104.16,62.66,130.86,165.13,37.24,NA,1.89,95.07,103.29,128.63,89.51,105.12,103.02,60.51,62.28,63.51,64.52,62.9,62.41,"YTNeo22[npt]"
"85","IL2021-18124",107.88,62.18,132.52,167.3,41.03,NA,2.23,99.53,106.21,130.51,95.18,109.83,111.39,60.25,61.89,62.95,64.26,62.24,61.54,NA
"86","IL2021-1815",100.85,60.56,131.59,165.71,42.94,NA,0.78,95.93,99.47,118.19,88.34,101.32,96.64,58.33,60.65,60.83,62.82,60.98,59.06,"YTAddie23[tall]; YTStp23[, tall]; YTUrb23[too tall]"
"87","IL2021-18152",107.2,62.71,132.15,167.19,36.14,NA,1.51,100.34,105.81,132.66,89.71,109.03,109.87,61.72,62.25,63.53,64.83,62.61,61.92,"YTAddie23[tip awn]"
"88","IL2021-18220",105.1,62.07,131.16,168.5,39.18,NA,3.17,99.96,103.42,127.87,95.92,103.9,101.05,61.28,61.73,62.57,64.25,62.15,60.8,"YTUrb22[Mix]"
"89","IL2021-18304",99.45,63.09,131.4,163.95,41.13,NA,3.25,88.45,98.25,118.84,89.1,100.26,94.39,61.45,62.55,64.04,66.38,62.92,62.03,"YTStp23[, tall]"
"90","IL2021-18313",102.86,63.3,131.62,166.61,40.77,NA,1.92,93.99,100.87,126.86,89.04,103.65,100.46,62.51,62.75,64.33,65.43,63.14,62.55,"YTAddie23[tall]"
"91","IL2021-18435",106.36,62.61,131.1,167.33,39.25,NA,5.29,98.51,104.9,131.81,92.45,107.1,106.54,60.83,62.22,63.42,64.9,62.76,61.83,NA
"92","IL2021-18451",108.95,61.03,132.43,167.29,38.7,NA,0.77,100.16,107.39,134.43,93.84,111.22,113.54,58.79,60.94,61.16,63.49,61.22,60.17,NA
"93","IL2021-18457",107.87,61.4,132.29,167.04,38.69,NA,3.26,103.39,106.01,128.87,97,108.42,109.07,60.1,61.23,61.69,63.54,61.6,60.16,NA
"94","IL2021-18468",106.09,62.02,130.25,165.74,40.26,NA,2.28,102.88,104.25,129.68,98.18,103.7,101.07,59.08,61.83,62.73,64.08,62.47,61.6,"YTStp23[, tall]; YTUrb22[Leaning]"
"95","IL2021-19221",102.76,61.43,133.07,167.11,38.09,NA,1.27,94.62,101.47,122.28,87.4,105.06,103.2,59.1,61.3,61.75,63.39,61.82,60.84,NA
"96","IL2021-19401",109.57,61.05,131.22,165.84,37.9,NA,0.94,101.48,107.84,135.64,97.92,110.49,112.13,59.44,60.99,61.44,63.08,61.12,59.9,"YTAddie23[septoria]"
"97","IL2021-19404",103.56,60.98,131.15,166.98,37.14,NA,1.82,97.03,102.27,127.2,89.24,103.89,100.56,58.8,60.94,61.28,63.9,61.24,59.41,"YTAddie23[big heads]; YTStp23[big spikes, npt,]; YTUrb23[big spike]"
"98","IL2021-19438",104.94,61.32,132.88,168.49,40.3,NA,1.16,93.15,103.49,128.57,93.97,106.34,105.05,60.29,61.14,61.75,64.48,61.12,59.43,NA
"99","IL2021-19549",104.61,60.99,131.29,167.66,39.45,NA,1.76,96.15,103.26,128.99,89.82,105.61,104.25,57.7,61.05,61.45,63.05,61.56,60.27,NA
"100","IL2021-19718",101.2,60.99,132.18,166.92,35.81,NA,2.53,92.79,100.38,126.01,81.82,102.9,98.32,57.85,61.07,61.39,61.97,61.83,60.7,"YTStp23[, thin]; YTUrb22[Leaning]"
"101","IL2021-19736",100.36,61.57,130.84,166.26,36.25,NA,2,94.73,99.12,115.79,84.63,102.64,99.07,58.53,61.48,62.14,63.52,62.04,61.12,"YTUrb22[Ve, npt]"
"102","IL2021-19766",106.45,62.58,131.29,164.11,39.1,NA,2.07,101.04,104.69,125.73,95.42,107.6,107.58,59.69,62.29,63.48,64.12,63.17,62.48,"YTUrb22[Tall]; YTUrb23[thick, uniform]"
"103","IL2021-20345",104.16,61.41,132.67,167.35,36.47,NA,2.61,91.3,102.72,123.8,91.79,107.45,107.36,60.45,61.24,61.87,63.68,61.41,59.89,"YTAddie23[glume blotch]; YTAddie23[mixed]; YTUrb22[Mix]; YTUrb23[mixed]"
"104","IL2021-2038",104.61,60.57,132.23,168.22,36.44,NA,2,94.15,103.2,124.77,91.21,107.54,106.97,58.62,60.58,60.51,62.67,60.96,59.44,NA
"105","IL2021-21123",105.41,62.99,131.58,165.15,39.11,NA,3.04,94.34,103.94,124.79,91.45,109.15,110.16,61.14,62.46,63.65,65.62,63.12,62.5,NA
"106","IL2021-21356",104.24,62.36,132.1,167.32,35.77,NA,1.2,99.54,102.67,124.52,91.41,104.57,102.71,59.77,62.08,63.11,64.45,62.82,61.85,"YTStp23[erect,]; YTUrb22[Npt]"
"107","IL2021-21635",104.48,62.86,131.72,166.95,37.95,NA,2.26,95.5,105.79,125.42,87.61,106.72,105.95,62.76,62.1,63.7,65.41,62.57,61.57,"YTAddie23[thick]; YTNeo22[leaning]"
"108","IL2021-21665",104.24,60.36,131.01,168.37,35.77,NA,3.11,100.08,100.11,127.12,94.63,103.37,100.22,58.34,59.87,60.5,62.32,60.89,59.29,"YTNeo22[npt, clean]"
"109","IL2021-21969",104.01,62.06,131.8,168.5,37.7,NA,2.34,93.57,102.56,121.25,90.44,107.74,107.74,60.24,61.74,62.67,64.85,61.92,61.23,"YTStp23[bad plot,]; YTUrb22[Leaning]"
"110","IL2021-22113",108.2,61.72,132.05,167.14,38.26,NA,1.85,101.52,106.49,132.26,96.04,109,109.83,60.5,61.42,62,64.48,61.61,60.59,"YTUrb22[Lodg]"
"111","IL2021-22316",111.75,60.94,132.15,167.7,38.28,NA,2.01,98.46,110.01,138.93,99.58,114.92,119.68,58.38,60.93,61,62.38,61.68,60.4,"YTAddie23[bad plot]; YTStp23[, thick]"
"112","IL2021-22514",104.43,63.23,132.97,166.84,37.72,NA,2.09,92.34,103.14,123.56,89.69,108.86,108.76,61.78,62.69,64.27,65.9,63.19,62.37,"YTUrb23[mixed]"
"113","IL2021-22564",104.4,63.48,132.94,167.02,39.45,NA,2.32,96.84,102.97,122.69,89.84,107.31,106.62,62.57,62.83,64.47,66.36,63.28,62.49,"YTUrb22[Lodging]"
"114","IL2021-22578",108.68,63,132.06,165.56,40.66,NA,4.98,104.22,106.69,131,100.21,108.19,108.71,61.3,62.45,63.74,65.9,62.87,62.44,"YTAddie23[tall]; YTUrb22[Lodging]"
"115","IL2021-22621",107.08,63.38,131.91,163.99,41.39,NA,1.92,103.25,105.27,128.04,95.23,107.38,107.71,62.44,62.77,64.47,65.59,63.09,62.87,"YTUrb22[Tall]"
"116","IL2021-23332",106.38,61.5,131.06,167.37,41.25,NA,2.12,95.89,104.89,129.13,93.06,108.86,109.44,59.46,61.38,62.03,63.37,61.83,60.61,"YTUrb22[Leaning]"
"117","IL2021-23464",102.88,62.62,132.44,167.18,39.42,NA,2.21,92.21,101.64,125.69,88.41,104.57,102.41,62.72,62.19,63.68,65.58,62.39,60.18,"YTUrb22[Leaning]"
"118","IL2021-2364",99.45,61.98,132.71,168.3,37.25,NA,2.03,89.6,98.42,119.18,84.17,101.31,96.4,61.36,61.68,62.64,64.21,61.92,60.46,"YTAddie23[mixed]; YTAddie23[mixed]; YTUrb23[mixed]"
"119","IL2021-24110",101.88,61.07,131.82,167.48,38.7,NA,1.8,92.55,100.6,120.79,87.23,104.21,101.99,58.26,61.1,61.6,62.69,61.53,60.44,NA
"120","IL2021-24143",107.41,60.6,131.85,165.49,39.84,NA,1.14,102.01,105.72,133.62,96.43,106.36,105.27,57.78,60.67,60.68,62.47,61.19,59.83,NA
"121","IL2021-24241",107.26,62.3,132.63,166.38,39.4,NA,3.02,101.34,105.69,135.49,94.56,106.14,105.09,61.53,61.92,62.97,64.75,62.3,60.88,"YTUrb22[A bit tall]"
"122","IL2021-24255",101.69,62.46,131.47,161.68,41.27,NA,1.48,96.77,100.39,122.22,86.52,102,98.27,60.97,62.08,63.19,64.64,62.51,61.74,"YTAddie23[tall]; YTAddie23[big heads]; YTStp23[, tall]"
"123","IL2021-24320",105.52,62.09,130.68,163.8,40.29,NA,3.55,100.37,103.86,127.71,94.01,105.29,103.93,58.65,61.9,62.72,63.49,62.7,62.48,"YTUrb22[Leaning]"
"124","IL2021-24365",104.87,61.39,129.69,166.53,39.02,NA,3.16,101.29,103.43,127.04,88.85,105.46,103.99,58.93,61.28,61.9,63.63,61.49,60.76,"YTUrb23[has triticale]"
"125","IL2021-24847",99.6,61.41,130.3,163.26,40.18,NA,2.14,94.05,98.44,120.7,86.19,98.89,92.3,60,61.28,61.95,64.23,61.56,59.49,"YTUrb22[Ve]"
"126","IL2021-24872",100.32,61.31,130.44,164.8,40.44,NA,2.59,93.51,99.04,121.85,88.08,99.53,94,59.25,61.26,61.9,63.21,61.75,60.04,NA
"127","IL2021-24918",100.57,61.42,130.02,166.22,39.11,NA,3.38,93.26,99.39,118.41,85.05,102.63,98.81,59.01,61.33,61.84,63.59,62,60.31,NA
"128","IL2021-24937",104.51,61.96,131.29,166.91,38.58,NA,0.67,96.81,102.98,124.15,91.62,106.28,105.47,60.34,61.71,62.61,64.05,62.15,60.94,"YTUrb22[Tall]"
"129","IL2021-24956",102.05,62.35,131.7,166.98,39.79,NA,5.3,97.94,100.7,121.27,87.55,102.58,98.88,61.55,61.95,63.01,64.7,62.26,61.17,"YTAddie23[thick]"
"130","IL2021-25152",104.12,62.35,132.8,169.29,38.36,NA,2.39,91.32,102.79,127.26,91.43,106.32,105.13,61.2,61.99,63.08,64.17,62.37,61.6,"YTUrb22[Leaning]"
"131","IL2021-25226",105.06,61.95,130.53,165.85,37.64,NA,1.83,97.11,103.63,129.52,91.94,105.52,103.81,59.23,61.75,62.56,63.9,62.41,61.52,NA
"132","IL2021-25334",105.59,62.75,132.74,167.72,38.76,NA,2.89,96.33,104.07,127.76,92.38,107.39,107.5,62.01,62.23,63.48,65.6,62.45,61.65,"YTUrb22[Lodg]"
"133","IL2021-25339",105.92,62.15,132.51,165.32,39.85,NA,2.07,95.85,104.26,125.94,95.02,108.16,108.65,60.86,61.83,62.81,64.51,62.17,61.01,"YTUrb23[seg]"
"134","IL2021-25344",104.78,63.04,131.57,166.75,36.36,NA,2.29,96.73,103.32,124.74,90.54,107.18,106.73,61.41,62.57,64,64.75,63.27,62.6,NA
"135","IL2021-25359",105.23,62.6,133,168.07,38.41,NA,3.05,100.11,103.63,125.47,92.85,106.05,104.75,62.33,62.11,63.42,65.87,62.15,60.77,"YTAddie23[thick]; YTStp23[bad plot,]"
"136","IL2021-25362",103.52,62.18,132.77,167.17,38.74,NA,3.38,99.12,102.06,121.73,88.36,105.1,103.51,61.77,61.7,62.52,65.41,61.66,60.92,NA
"137","IL2021-25411",106.14,61.96,132.22,167.94,38.95,NA,1.94,98.15,104.6,128.13,92.69,107.94,108.01,59.36,61.73,62.6,64.5,62.13,61.34,"YTUrb22[A bit tall]"
"138","IL2021-25478",100.44,62.04,131.57,164.28,37.89,NA,3.28,96.11,99.33,121.13,83.67,100.8,95.66,59.99,61.8,62.79,64.26,62.26,61.1,"YTUrb23[ve, bright]"
