germplasmName,observationUnitName,notes
IL2022F4S-5604,SI_Urb_23-1125,"hd:N, obs:Good"
IL2022-17507,SI_Urb_23-1126,"hd:E, obs:Good"
IL2022-18763,SI_Urb_23-1127,"hd:N, obs:Good"
IL2022-12047,SI_Urb_23-1128,"hd:E, mixed, obs:Normal"
IL2022-19141,SI_Urb_23-1129,"hd:E, obs:Normal"
IL2022-18920,SI_Urb_23-113,obs:Poor
IL2022-7634,SI_Urb_23-1130,"hd:E, obs:Good"
IL2022-1906,SI_Urb_23-1131,"hd:E, obs:Poor"
IL2022-3033,SI_Urb_23-1132,"hd:N, obs:Fair"
IL2022-7448,SI_Urb_23-1133,"hd:N, obs:Good"
IL2022-10577,SI_Urb_23-1134,"hd:N, obs:Good"
IL2022-7806,SI_Urb_23-1135,"hd:E, obs:Normal"
IL2022-14110,SI_Urb_23-1136,obs:Normal
IL2022-4739,SI_Urb_23-1137,"hd:E, obs:Normal"
IL2022-19043,SI_Urb_23-1138,"hd:N, obs:Good"
IL2022-19528,SI_Urb_23-1139,"hd:N, obs:Good"
IL2022-5865,SI_Urb_23-114,"hd:E, obs:Good"
IL2022-23979,SI_Urb_23-1140,"hd:N, obs:Normal"
IL2022-20757,SI_Urb_23-1141,"hd:N, obs:Normal"
IL2022-5551,SI_Urb_23-1142,"hd:E, obs:Good"
IL2022-10072,SI_Urb_23-1143,"hd:E, obs:Normal"
IL2022-22035,SI_Urb_23-1144,"hd:N, obs:Normal"
IL2022-11669,SI_Urb_23-1145,"hd:N, obs:Normal"
IL2022-5561,SI_Urb_23-1146,"hd:E, obs:Good"
IL2022-15515,SI_Urb_23-1147,"hd:E, obs:Normal"
IL2022-1645,SI_Urb_23-1148,"hd:E, obs:Fair"
IL2022-9003,SI_Urb_23-1149,"hd:E, bearded, obs:Normal"
IL2022-4237,SI_Urb_23-115,obs:Poor
IL2022-17244,SI_Urb_23-1150,"hd:E, obs:Fair"
IL2022-18049,SI_Urb_23-1151,"hd:N, obs:Good"
IL2022-2254,SI_Urb_23-1152,"hd:N, obs:Fair"
IL2022-6364,SI_Urb_23-1153,"hd:E, obs:Fair"
IL2022-14320,SI_Urb_23-1154,"hd:E, obs:Good"
IL2022-3936,SI_Urb_23-1155,"hd:E, obs:Fair"
