"","study","germplasmName","predicted.value","std.error","status"
"177","Pr_Urb_21","07-19334",138.512079806523,0.82598520012351,"Estimable"
"178","Pr_Urb_21","12-26004",131.072943443451,0.824743499057239,"Estimable"
"179","Pr_Urb_21","16-8048",137.079812580233,0.826475522310641,"Estimable"
"180","Pr_Urb_21","19-10123",132.774820837264,0.34729325438773,"Estimable"
"181","Pr_Urb_21","19-12926",134.529391979272,0.344902469615896,"Estimable"
"182","Pr_Urb_21","19-13414",136.158887447748,0.344461651719958,"Estimable"
"183","Pr_Urb_21","19-13451",134.872487885647,0.344476646509256,"Estimable"
"184","Pr_Urb_21","19-13713",133.502581695797,0.345047367456419,"Estimable"
"185","Pr_Urb_21","19-13978",132.043177086465,0.34452693634234,"Estimable"
"186","Pr_Urb_21","19-14617",131.253863088301,0.344191367445421,"Estimable"
"187","Pr_Urb_21","19-14845",132.237359717292,0.345383139723552,"Estimable"
"188","Pr_Urb_21","19-14933",132.052742702662,0.344661771193921,"Estimable"
"189","Pr_Urb_21","19-15017",131.253043198526,0.345700447461002,"Estimable"
"190","Pr_Urb_21","19-16176",135.298066657171,0.346167979917152,"Estimable"
"191","Pr_Urb_21","19-17546",132.774886032981,0.345852427211875,"Estimable"
"192","Pr_Urb_21","19-17662",135.941316434523,0.344619699487136,"Estimable"
"193","Pr_Urb_21","19-18153",135.673154544766,0.346363159108591,"Estimable"
"194","Pr_Urb_21","19-18156",136.896868261458,0.346467375110281,"Estimable"
"195","Pr_Urb_21","19-18725",135.806083511223,0.346445903783915,"Estimable"
"196","Pr_Urb_21","19-18826",135.914207825069,0.345980410361934,"Estimable"
"197","Pr_Urb_21","19-18837",136.589575760174,0.344784669008047,"Estimable"
"198","Pr_Urb_21","19-18957",132.091528903285,0.345380519459988,"Estimable"
"199","Pr_Urb_21","19-19205",135.058651337114,0.345957036117398,"Estimable"
"200","Pr_Urb_21","19-20348",135.133987562057,0.343835294861765,"Estimable"
"201","Pr_Urb_21","19-21467",136.711484070125,0.344225912279749,"Estimable"
"202","Pr_Urb_21","19-21760",134.166843701119,0.345094874034262,"Estimable"
"203","Pr_Urb_21","19-21848",133.867801348,0.344886340155699,"Estimable"
"204","Pr_Urb_21","19-22757",135.237171384947,0.345204289265773,"Estimable"
"205","Pr_Urb_21","19-23855",134.554784386693,0.346200498719361,"Estimable"
"206","Pr_Urb_21","19-25469",134.191738020374,0.346709173576487,"Estimable"
"207","Pr_Urb_21","19-26456",133.785347275294,0.343762912705788,"Estimable"
"208","Pr_Urb_21","19-26709",132.637125972739,0.344869255339949,"Estimable"
"209","Pr_Urb_21","19-27565",136.495979354683,0.345927096440276,"Estimable"
"210","Pr_Urb_21","19-4151",134.880583052473,0.344509547659566,"Estimable"
"211","Pr_Urb_21","19-5122",135.930954914301,0.344346849360649,"Estimable"
"212","Pr_Urb_21","19-5632",134.31698637801,0.344041006605162,"Estimable"
"213","Pr_Urb_21","19-6637",136.4618638386,0.344348360852778,"Estimable"
"214","Pr_Urb_21","19-6946",135.481355950606,0.343190923992211,"Estimable"
"215","Pr_Urb_21","2020-10001",135.049405181726,0.84333061724219,"Estimable"
"216","Pr_Urb_21","2020-10026",134.475716478712,0.842957736643978,"Estimable"
"217","Pr_Urb_21","2020-10275",134.520002594196,0.843322177884538,"Estimable"
"218","Pr_Urb_21","2020-10322",135.547380549136,0.845478589079941,"Estimable"
"219","Pr_Urb_21","2020-10415",133.371333591301,0.839755401023384,"Estimable"
"220","Pr_Urb_21","2020-10435",134.301077785499,0.838323897520888,"Estimable"
"221","Pr_Urb_21","2020-10630",134.232587010781,0.839830008490426,"Estimable"
"222","Pr_Urb_21","2020-11134",136.300711441374,0.843524593425515,"Estimable"
"223","Pr_Urb_21","2020-11426",134.262811537813,0.840000125441316,"Estimable"
"224","Pr_Urb_21","2020-11841",134.302267866769,0.842063237562993,"Estimable"
"225","Pr_Urb_21","2020-12650",136.420401079831,0.839345193988138,"Estimable"
"226","Pr_Urb_21","2020-12665",135.170739269274,0.841903173718833,"Estimable"
"227","Pr_Urb_21","2020-13145",134.486602929395,0.838599971787753,"Estimable"
"228","Pr_Urb_21","2020-1362",134.039210324582,0.838945870839309,"Estimable"
"229","Pr_Urb_21","2020-13902",133.230699734602,0.843515284003529,"Estimable"
"230","Pr_Urb_21","2020-14116",136.107407758146,0.834840922139208,"Estimable"
"231","Pr_Urb_21","2020-1511",133.533702013447,0.840502920150108,"Estimable"
"232","Pr_Urb_21","2020-15256",136.048605498519,0.834886933233703,"Estimable"
"233","Pr_Urb_21","2020-15403",136.340324085023,0.845121208544556,"Estimable"
"234","Pr_Urb_21","2020-15429",135.203158307791,0.838459370295626,"Estimable"
"235","Pr_Urb_21","2020-15726",137.902880182291,0.838249380290641,"Estimable"
"236","Pr_Urb_21","2020-1578",135.48595229996,0.836587201485192,"Estimable"
"237","Pr_Urb_21","2020-16022",133.949127188571,0.837144189833805,"Estimable"
"238","Pr_Urb_21","2020-16035",133.896467937912,0.841992117258612,"Estimable"
"239","Pr_Urb_21","2020-16102",133.790882625498,0.841829666194908,"Estimable"
"240","Pr_Urb_21","2020-16118",134.461754669218,0.843668737765059,"Estimable"
"241","Pr_Urb_21","2020-16145",134.308407260966,0.833126709283516,"Estimable"
"242","Pr_Urb_21","2020-16641",132.911748567366,0.845690160943944,"Estimable"
"243","Pr_Urb_21","2020-17006",135.387830506973,0.836129800601184,"Estimable"
"244","Pr_Urb_21","2020-17017",135.682862305346,0.838970630849276,"Estimable"
"245","Pr_Urb_21","2020-1761",134.728133292157,0.842813620414231,"Estimable"
"246","Pr_Urb_21","2020-1847",135.714594086572,0.839288655522577,"Estimable"
"247","Pr_Urb_21","2020-1862",133.323041379699,0.84625181717479,"Estimable"
"248","Pr_Urb_21","2020-2010",134.129076518078,0.831061039581037,"Estimable"
"249","Pr_Urb_21","2020-2032",132.945172292103,0.846798763145714,"Estimable"
"250","Pr_Urb_21","2020-2068",131.75539140813,0.843367467628188,"Estimable"
"251","Pr_Urb_21","2020-2101",131.124984031261,0.837236979893358,"Estimable"
"252","Pr_Urb_21","2020-2318",132.241610958838,0.840610544026752,"Estimable"
"253","Pr_Urb_21","2020-2334",132.583237827692,0.837161558844022,"Estimable"
"254","Pr_Urb_21","2020-2749",134.073656470284,0.847136021132857,"Estimable"
"255","Pr_Urb_21","2020-2770",135.105628080826,0.838453090554243,"Estimable"
"256","Pr_Urb_21","2020-2864",133.92216468808,0.836763287677468,"Estimable"
"257","Pr_Urb_21","2020-3205",132.352652935369,0.845512337615872,"Estimable"
"258","Pr_Urb_21","2020-3234",133.875794199104,0.843060431406472,"Estimable"
"259","Pr_Urb_21","2020-3607",134.027155062201,0.833977520622108,"Estimable"
"260","Pr_Urb_21","2020-40034",134.576466401976,0.834846192550666,"Estimable"
"261","Pr_Urb_21","2020-4907",134.777053764848,0.838021476877354,"Estimable"
"262","Pr_Urb_21","2020-4951",135.380653366765,0.844244499456399,"Estimable"
"263","Pr_Urb_21","2020-5250",135.149882383285,0.842893374788331,"Estimable"
"264","Pr_Urb_21","2020-5369",132.230614487406,0.84604859359334,"Estimable"
"265","Pr_Urb_21","2020-5376",132.657129642547,0.832759574849862,"Estimable"
"266","Pr_Urb_21","2020-5416",133.594872614398,0.840864215436348,"Estimable"
"267","Pr_Urb_21","2020-5533",132.12374752035,0.843114050327633,"Estimable"
"268","Pr_Urb_21","2020-5545",131.99169928791,0.841372879880862,"Estimable"
"269","Pr_Urb_21","2020-571",134.494484362351,0.84303890602135,"Estimable"
"270","Pr_Urb_21","2020-6010",134.888211866936,0.842828677516358,"Estimable"
"271","Pr_Urb_21","2020-6205",134.651684444729,0.843711365293625,"Estimable"
"272","Pr_Urb_21","2020-6254",134.979192409978,0.84340498929663,"Estimable"
"273","Pr_Urb_21","2020-6415",133.754972515602,0.84332744786246,"Estimable"
"274","Pr_Urb_21","2020-6435",132.847638529208,0.841489949015814,"Estimable"
"275","Pr_Urb_21","2020-6633",134.208704179309,0.840316273139812,"Estimable"
"276","Pr_Urb_21","2020-7021",135.060299523441,0.842967765637903,"Estimable"
"277","Pr_Urb_21","2020-7024",136.455170306152,0.837509295164836,"Estimable"
"278","Pr_Urb_21","2020-7035",133.248805639496,0.842714628797504,"Estimable"
"279","Pr_Urb_21","2020-7369",135.195756791475,0.840969426589492,"Estimable"
"280","Pr_Urb_21","2020-7719",133.956819838855,0.839873409987271,"Estimable"
"281","Pr_Urb_21","2020-7737",133.584968464158,0.841290427290844,"Estimable"
"282","Pr_Urb_21","2020-7877",132.529896343994,0.844587889372411,"Estimable"
"283","Pr_Urb_21","2020-7917",132.396020339466,0.837721926825136,"Estimable"
"284","Pr_Urb_21","2020-8754",136.071756708456,0.838233751442079,"Estimable"
"285","Pr_Urb_21","2020-9168",132.696913830104,0.835598545694267,"Estimable"
"286","Pr_Urb_21","2020-9801",134.102843859625,0.842971855725923,"Estimable"
"287","Pr_Urb_21","2020-9828",133.143057059028,0.843480936275248,"Estimable"
"288","Pr_Urb_21","2020-9856",135.056602535716,0.832239632771565,"Estimable"
"289","Pr_Urb_21","2020-9945",136.152136788791,0.843349845207035,"Estimable"
"290","Pr_Urb_21","25R76",136.063260078409,0.866559966332998,"Estimable"
"291","Pr_Urb_21","AgriMAXX503",137.588765794375,0.866286949196161,"Estimable"
"292","Pr_Urb_21","IL16LCSDH-01-T-863-10",140.119455464334,0.839665075314855,"Estimable"
"293","Pr_Urb_21","IL16LCSDH-01-T-863-32",138.144259889731,0.837962702977523,"Estimable"
"294","Pr_Urb_21","IL16LCSDH-01-T-863-5",135.929246306324,0.831414886575866,"Estimable"
"295","Pr_Urb_21","IL16LCSDH-01-T-863-58",135.974627182617,0.838357361815438,"Estimable"
"296","Pr_Urb_21","IL16LCSDH-01-T-863-6",135.272108686161,0.864325091322282,"Estimable"
"297","Pr_Urb_21","IL16LCSDH-01-T-863-63",137.444811571126,0.84150177101445,"Estimable"
"298","Pr_Urb_21","IL16LCSDH-01-T-863-72",133.879515375139,0.836863888265625,"Estimable"
"299","Pr_Urb_21","IL16LCSDH-02-T-864-29",133.486894052042,0.837530934952742,"Estimable"
"300","Pr_Urb_21","IL16LCSDH-02-T-864-38",133.796590027451,0.834591935443271,"Estimable"
"301","Pr_Urb_21","IL16LCSDH-02-T-864-5",132.934895062716,0.900896898436273,"Estimable"
"302","Pr_Urb_21","IL16LCSDH-02-T-864-54",133.683064400606,0.840504199577115,"Estimable"
"303","Pr_Urb_21","IL16LCSDH-02-T-864-59",134.850096289125,0.868445264239655,"Estimable"
