"","germplasmName","predicted.value","std.error","status","trait","study","rel"
"35","19-27565",95.6444756024659,3.68326221795049,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"36","19-4151",95.4196563049356,3.6529350499042,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"37","19-5122",97.7906530864805,3.58957862615516,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"38","19-5632",99.313384319688,3.52285103065026,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"39","19-6637",93.3996629663988,3.66785629095605,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"40","19-6946",104.378860669886,3.63564682481811,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"41","2020-10001",101.07497231191,4.11747167071695,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"42","2020-10275",97.9545056915919,4.23080167254655,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"43","2020-10322",95.5298435391959,4.06805609892374,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"44","2020-10415",102.899482442414,4.49437334611698,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"45","2020-10435",98.8514966919106,4.04828684187168,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"46","2020-10630",91.0911897488629,4.43484819098086,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"47","2020-11426",94.8003103295028,4.31473173129317,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"48","2020-12650",96.5882892742593,4.24798930353101,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"49","2020-12665",95.8736844741983,4.27880267080628,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"50","2020-13902",89.3079466874956,4.42875378202508,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"51","2020-14116",96.6391177039284,4.5753456042268,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"52","2020-15256",86.2452937356199,4.49206565535671,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"53","2020-15726",93.5720629943388,4.15212297433949,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"54","2020-16035",89.9235056761446,4.53164425886675,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"55","2020-16102",99.9100652197005,4.02243558248882,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"56","2020-2010",101.024694723211,4.40017299708472,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"57","2020-2101",98.1677153157464,4.27937605380275,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"58","2020-2334",104.804036587842,4.39147836812127,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"59","2020-2749",93.026119728559,4.43988375579916,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"60","2020-2864",97.6478299312887,4.71143465163006,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"61","2020-40034",103.491325420932,4.05797475770006,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"62","2020-5376",97.1669513703341,4.30394059306133,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"63","2020-6205",107.454116865488,4.27588152574613,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"64","2020-6254",96.7759454745538,4.2829962989127,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"65","2020-6435",103.684070182565,4.36336878754845,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"66","2020-7021",100.107860199972,4.42493452501881,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"67","2020-7719",102.071044960588,4.14992827724997,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"68","2020-7737",101.244979804865,4.09254164749733,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
"69","2020-7917",104.832622996531,4.23444652565596,"Estimable","Grain.yield...bu.ac","Big6_Fra_23",0.703457364498072
