germplasmName,observationUnitName,notes
IL2021-43945,YT_Urb_23-1044,
IL2022-7627,YT_Urb_23-1045,
IL2021-33409,YT_Urb_23-1046,
IL2021-36613,YT_Urb_23-1047,
IL16LCSDH-09-T-2664-36,YT_Urb_23-1048,
IL2022-10212,YT_Urb_23-1049,
IL2022-23207,YT_Urb_23-105,
Pio 25R74,YT_Urb_23-1050,
IL2022-14871,YT_Urb_23-1051,
IL2021-32554,YT_Urb_23-1052,
IL2021-38661,YT_Urb_23-1053,
IL2022-10239,YT_Urb_23-1054,
IL2021-28770,YT_Urb_23-1055,
2020-1761,YT_Urb_23-1056,
IL2021-38714,YT_Urb_23-1057,
IL2022-13756,YT_Urb_23-1058,
IL2022-5838,YT_Urb_23-1059,"thick, early"
IL2022-13732,YT_Urb_23-106,
IL2021-24847,YT_Urb_23-1060,
IL2022-11334,YT_Urb_23-1061,
IL2022-8578,YT_Urb_23-1062,
IL2021-34245,YT_Urb_23-1063,
IL2021-7550,YT_Urb_23-1064,
IL2021-16820,YT_Urb_23-1065,
IL2022-13468,YT_Urb_23-1066,
2020-10630,YT_Urb_23-1067,
IL2022-8033,YT_Urb_23-1068,
IL2022-3421,YT_Urb_23-1069,late
IL2021-45638,YT_Urb_23-107,
IL2021-17373,YT_Urb_23-1070,
IL2022-12263,YT_Urb_23-1071,
2020-7719,YT_Urb_23-1072,
IL2021-15134,YT_Urb_23-1073,
IL2022-13060,YT_Urb_23-1074,
IL2022-5744,YT_Urb_23-1075,
2020-10322,YT_Urb_23-1076,
IL2021-43932,YT_Urb_23-1077,
IL2022-12347,YT_Urb_23-1078,
19-18153,YT_Urb_23-1079,
IL2021-29158,YT_Urb_23-108,
IL2021-17534,YT_Urb_23-1080,mixed
19-17546,YT_Urb_23-1081,vve
IL2022-22770,YT_Urb_23-1082,
19-18725,YT_Urb_23-1083,
19-21848,YT_Urb_23-1084,npt
IL2022-4232,YT_Urb_23-1085,
IL2022-3242,YT_Urb_23-1086,
19-18826,YT_Urb_23-1087,
IL2021-3403,YT_Urb_23-1088,
IL2022-12949,YT_Urb_23-1089,
IL2021-40641,YT_Urb_23-109,
IL2021-41738,YT_Urb_23-1090,
IL2021-36376,YT_Urb_23-1091,
IL2021-34018,YT_Urb_23-1092,
IL2022-13959,YT_Urb_23-1093,
IL2021-44623,YT_Urb_23-1094,
IL2022-22416,YT_Urb_23-1095,
Kaskaskia,YT_Urb_23-1096,
IL2022-4739,YT_Urb_23-1097,
IL2022-13138,YT_Urb_23-1098,"thick, tall"
IL16LCSDH-01-T-863-10,YT_Urb_23-1099,
IL2022-15944,YT_Urb_23-11,"late, bearded"
IL2022-2157,YT_Urb_23-110,
IL2022-14756,YT_Urb_23-1100,
IL2022-1675,YT_Urb_23-1101,
IL2021-25226,YT_Urb_23-1102,
IL16LCSDH-02-T-864-29,YT_Urb_23-1103,
IL2022-12832,YT_Urb_23-1104,
IL2022-14913,YT_Urb_23-1105,
IL2022-16849,YT_Urb_23-1106,
IL2021-40751,YT_Urb_23-1107,
IL2022-7379,YT_Urb_23-1108,
2020-6435,YT_Urb_23-1109,
19-13414,YT_Urb_23-111,
IL2022-5210,YT_Urb_23-1110,
2020-14116,YT_Urb_23-1111,
IL2022-8016,YT_Urb_23-1112,
2020-15726,YT_Urb_23-1113,
IL2021-28801,YT_Urb_23-1114,
2020-15256,YT_Urb_23-1115,
IL2021-36469,YT_Urb_23-1116,
IL2021-17463,YT_Urb_23-1117,thick
IL2021-7231,YT_Urb_23-1118,
IL2022-18801,YT_Urb_23-1119,
IL2021-24956,YT_Urb_23-112,
IL16LCSDH-04-T-2659-216,YT_Urb_23-1120,
IL2022-7565,YT_Urb_23-1121,
19-14845,YT_Urb_23-1122,
IL2021-8749,YT_Urb_23-1123,thick
IL2021-26838,YT_Urb_23-1124,
IL2022-10834,YT_Urb_23-1125,
IL2022-17844,YT_Urb_23-1126,
IL2021-22113,YT_Urb_23-1127,
IL2022-24110,YT_Urb_23-1128,
IL2021-36639,YT_Urb_23-1129,
IL2022-9438,YT_Urb_23-113,"seg, ve, tall"
IL16LCSDH-09-T-2664-40,YT_Urb_23-1130,
IL2022-22603,YT_Urb_23-1131,
IL2021-36731,YT_Urb_23-1132,
IL16LCSDH-02-T-864-54,YT_Urb_23-1133,
